latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.05325,-118.54578,332.83,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,292.53,23.92,D,0
34.05206,-118.55459,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,351.28,129.53,D,0
34.05146,-118.55904,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,376.33,314.65,D,0
34.05085,-118.56353,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,328.29,314.65,D,0
34.05845,-118.53322,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,352.96,0,D,0
34.05605,-118.55094,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,342.71,129.53,D,0
34.05905,-118.52878,333.53,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.43,9.62,D,0
34.05724,-118.5421,344.83,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,301.48,23.92,D,0
34.05664,-118.54655,350.17,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,300.16,23.92,D,0
34.05545,-118.55537,337.68,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,303.48,129.53,D,0
34.05423,-118.56437,337.3,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,297.1,314.65,D,0
34.05784,-118.53769,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,350.01,0,D,0
34.06245,-118.52955,325.28,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.93,3.92,D,0
34.06064,-118.54289,336.89,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,301.94,27.9,D,0
34.06004,-118.5473,354.89,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,296.95,27.9,D,0
34.05944,-118.55167,345.32,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.95,9.25,D,0
34.06184,-118.53401,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,334.47,231.03,D,0
34.06123,-118.53849,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,377.36,231.03,D,0
34.06343,-118.54807,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,312.09,27.9,D,0
34.06523,-118.53482,344.3,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,301.77,231.03,D,0
34.06403,-118.54369,350.83,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,320.85,27.9,D,0
34.06463,-118.53926,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,373.53,231.03,D,0
34.06802,-118.54005,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,354.17,128.17,D,0
34.06862,-118.53562,338.52,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.92,128.17,D,0
34.06742,-118.54449,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,339.42,50.76,D,0
34.06683,-118.54885,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,336.51,50.76,D,0
34.07141,-118.54083,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,347.36,128.17,D,0
34.0708,-118.54528,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,346.56,50.76,D,0
34.07201,-118.53639,326.99,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,292.82,128.17,D,0
34.07022,-118.54963,332.4,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,298.85,50.76,D,0
34.0748,-118.54161,367,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,327.52,66.98,D,0
34.0742,-118.54605,315.82,0.41,0.37,2025-01-07,2104,N,VIIRS,l,2,316.91,55.02,D,0
34.0782,-118.54236,334.82,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,290.79,66.98,D,0
34.07759,-118.54678,331.77,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,293.62,55.02,D,0
34.07695,-118.54561,344.3,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,295.17,29.05,D,0
35.63927,-120.3851,345.68,0.39,0.36,2025-01-07,2104,N,VIIRS,n,2,296.83,10.42,D,0
36.14822,-121.06353,331.69,0.38,0.36,2025-01-07,2104,N,VIIRS,n,2,296.21,4.78,D,0
36.14758,-121.06778,351.58,0.38,0.36,2025-01-07,2104,N,VIIRS,n,2,297.82,9.69,D,0
36.15088,-121.06853,345.24,0.38,0.36,2025-01-07,2104,N,VIIRS,n,2,297.16,9.69,D,0
36.36488,-121.31391,332.53,0.38,0.36,2025-01-07,2105,N,VIIRS,n,2,299.29,8.42,D,0
36.93603,-121.39162,330.99,0.38,0.36,2025-01-07,2105,N,VIIRS,n,2,292.83,3.22,D,0
36.96202,-121.53528,331.92,0.38,0.36,2025-01-07,2105,N,VIIRS,n,2,292.13,3.8,D,0
36.96596,-121.53177,328.62,0.38,0.36,2025-01-07,2105,N,VIIRS,n,2,290.87,2.38,D,0
36.96531,-121.53604,330.87,0.38,0.36,2025-01-07,2105,N,VIIRS,n,2,292.3,2.38,D,0
34.62243,-117.09991,300.81,0.43,0.38,2025-01-08,0926,N,VIIRS,n,2,275.42,0.79,N,2
34.60686,-117.33675,299.01,0.44,0.38,2025-01-08,0926,N,VIIRS,n,2,276.2,1.23,N,2
34.65927,-117.80544,299.44,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,273.65,0.99,N,0
34.65569,-117.80621,309.93,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,273.76,0.99,N,0
34.43139,-118.64413,306.25,0.49,0.4,2025-01-08,0926,N,VIIRS,n,2,281.34,1.44,N,2
34.43093,-118.64625,311.69,0.49,0.4,2025-01-08,0926,N,VIIRS,n,2,281.14,1.54,N,2
34.33895,-118.48189,334.28,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,283.15,3.85,N,0
34.33831,-118.47668,347.89,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,283.67,5.84,N,0
34.33962,-118.48746,319.19,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,280.54,3.85,N,0
34.33597,-118.48843,334.24,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,286.11,12.61,N,0
34.33531,-118.48295,355.59,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,288.34,12.61,N,0
34.33467,-118.47773,349.78,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,293.72,17.05,N,0
34.33408,-118.47282,343.16,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,285.4,17.05,N,0
34.33234,-118.48955,347.35,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,290.58,12.61,N,0
34.33105,-118.47895,344.39,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,292.29,17.05,N,0
34.33044,-118.47387,352.21,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,287.9,17.05,N,0
34.32981,-118.46877,332.18,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,290.33,10.87,N,0
34.33298,-118.49489,307.74,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,282.17,3.7,N,0
34.33169,-118.48422,311.73,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,283.17,12.61,N,0
34.32869,-118.49056,342.81,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,286.3,10.79,N,0
34.32679,-118.47486,330.7,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,284.37,4.56,N,0
34.32616,-118.46969,337.63,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,290.22,17.92,N,0
34.32932,-118.49582,317.02,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,282.05,4.96,N,0
34.32742,-118.48001,297.69,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,281.84,4.56,N,0
34.32376,-118.48094,308.4,0.48,0.4,2025-01-08,0926,N,VIIRS,n,2,282.29,4.56,N,0
34.14153,-117.42831,301.43,0.44,0.38,2025-01-08,0926,N,VIIRS,n,2,280.77,0.67,N,2
34.21688,-118.09442,304.94,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,278.62,75.44,N,0
34.2163,-118.08983,318.89,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,279.23,75.44,N,0
34.21451,-118.10491,329.32,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,311.05,62.82,N,0
34.21328,-118.09517,336.23,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,330.65,75.44,N,0
34.2127,-118.09064,324.28,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,310.9,75.44,N,0
34.13562,-117.49289,332.13,0.44,0.38,2025-01-08,0926,N,VIIRS,n,2,286.24,4.51,N,0
34.21651,-118.12081,296.6,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,279.08,0.87,N,0
34.21585,-118.11552,300.15,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,279.04,0.83,N,0
34.21518,-118.11024,299.13,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,278.47,0.83,N,0
34.21388,-118.09993,316.78,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,285.74,62.82,N,0
34.2121,-118.0859,305.42,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,280.36,4.96,N,0
34.21298,-118.12214,331.12,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,318.06,56.36,N,0
34.21232,-118.11689,341.74,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,286.38,77.89,N,0
34.21096,-118.10612,345.5,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,316.34,82.22,N,0
34.21032,-118.1011,340,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,302.05,82.22,N,0
34.1321,-117.49358,327.68,0.44,0.38,2025-01-08,0926,N,VIIRS,n,2,283.47,4.4,N,0
34.21365,-118.12745,300.04,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,281.06,56.36,N,0
34.21164,-118.11154,310.61,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,280.76,77.89,N,0
34.20852,-118.0868,316.26,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,281.24,2.2,N,0
34.20786,-118.08157,299.38,0.46,0.39,2025-01-08,0926,N,VIIRS,n,2,280.4,2.2,N,0
